id;codigo_turma;data_criacao;unidade;observacoes
1;Kwanza;2021-06-14;intelligence e-services Investment;../fake-data/blob/hipster.txt
2;productize;2021-06-15;scale optimize;../fake-data/blob/hipster.txt
3;Response Pound card;2021-06-15;orange innovate Home;../fake-data/blob/hipster.txt
4;Books;2021-06-15;Checking;../fake-data/blob/hipster.txt
5;Lesotho state Hat;2021-06-14;Automotive copy Chicken;../fake-data/blob/hipster.txt
6;IB Customer Road;2021-06-15;Street;../fake-data/blob/hipster.txt
7;Rhode transition Cambridgeshire;2021-06-15;fuchsia bypassing scalable;../fake-data/blob/hipster.txt
8;users;2021-06-15;Wooden;../fake-data/blob/hipster.txt
9;Texas;2021-06-15;Indiana cutting-edge De-engineered;../fake-data/blob/hipster.txt
10;HDD New Paradigm;2021-06-15;neural;../fake-data/blob/hipster.txt
